Temp_ID,Easting,Northing,Tree_Height,Crown_Diameter,Plot_Number,Date
172,476947.69,5429132.887,35.86,2.63,br01,2026-03-08
173,476990.558,5429159.591,41.53,3.13,br01,2026-03-08
174,476930.218,5429136.655,35.77,4.44,br01,2026-03-08
175,476975.793,5429114.027,28.51,2.18,br01,2026-03-08
176,476974.45,5429117.791,30.11,3.52,br01,2026-03-08
177,477006.475,5429183.786,39.69,3.15,br01,2026-03-08
178,477025.503,5429215.365,42.38,3.87,br01,2026-03-08
179,476969.194,5429204.643,49.74,1.06,br01,2026-03-08
180,476961.624,5429120.307,32.3,2.25,br01,2026-03-08
181,476983.733,5429132.928,41.03,3.54,br01,2026-03-08
182,477013.468,5429192.981,37.52,3.21,br01,2026-03-08
183,476972.091,5429203.352,48.87,4.71,br01,2026-03-08
184,476989.957,5429179.786,41.72,3.25,br01,2026-03-08
185,477008.168,5429173.071,40.01,2.76,br01,2026-03-08
186,476969.478,5429203.398,48.6,2.37,br01,2026-03-08
187,476937.583,5429128.361,35.16,3.38,br01,2026-03-08
188,477000.433,5429170.823,40.1,1.8,br01,2026-03-08
189,476979.575,5429114.686,29.0,3.21,br01,2026-03-08
190,476974.909,5429116.683,29.99,1.42,br01,2026-03-08
191,476947.183,5429137.58,34.72,3.26,br01,2026-03-08
192,476957.156,5429117.028,34.23,3.55,br01,2026-03-08
193,476950.965,5429186.139,50.51,5.51,br01,2026-03-08
194,477010.904,5429185.707,39.15,1.42,br01,2026-03-08
195,476986.933,5429177.591,42.1,2.66,br01,2026-03-08
196,477024.088,5429230.425,43.81,1.98,br01,2026-03-08
197,476975.633,5429115.632,29.37,1.56,br01,2026-03-08
198,477004.667,5429173.869,36.54,3.79,br01,2026-03-08
199,476950.428,5429188.455,40.16,2.35,br01,2026-03-08
200,476951.682,5429198.554,52.32,4.55,br01,2026-03-08
201,477004.8,5429219.932,47.43,3.2,br01,2026-03-08
202,476943.2,5429124.673,40.21,1.68,br01,2026-03-08
203,477006.897,5429237.885,47.51,2.93,br01,2026-03-08
204,477021.899,5429212.85,39.81,3.61,br01,2026-03-08
205,476977.091,5429114.56,28.89,2.0,br01,2026-03-08
206,476998.473,5429179.074,41.79,1.51,br01,2026-03-08
207,476972.736,5429118.169,29.76,2.52,br01,2026-03-08
208,476983.513,5429130.533,34.46,1.06,br01,2026-03-08
209,476999.523,5429239.731,46.13,3.64,br01,2026-03-08
210,476949.054,5429186.864,51.83,4.18,br01,2026-03-08
211,476998.646,5429245.198,47.78,3.61,br01,2026-03-08
212,477007.484,5429220.88,46.89,1.48,br01,2026-03-08
213,476971.729,5429115.596,28.87,5.12,br01,2026-03-08
214,476989.339,5429156.71,39.85,2.12,br01,2026-03-08
215,476932.083,5429170.06,47.02,2.08,br01,2026-03-08
216,477026.054,5429211.919,43.22,2.55,br01,2026-03-08
217,476978.505,5429147.371,41.67,4.48,br01,2026-03-08
218,476978.227,5429112.494,28.06,5.1,br01,2026-03-08
219,476993.509,5429140.978,35.95,2.57,br01,2026-03-08
220,476996.532,5429181.325,43.42,2.51,br01,2026-03-08
221,476976.91,5429131.031,41.2,1.93,br01,2026-03-08
222,476962.525,5429117.677,16.68,3.69,br01,2026-03-08
223,477006.332,5429171.206,38.92,3.46,br01,2026-03-08
224,476975.777,5429129.815,38.74,2.46,br01,2026-03-08
225,476987.875,5429180.82,46.52,1.61,br01,2026-03-08
226,476934.675,5429179.326,50.12,1.84,br01,2026-03-08
227,476977.94,5429167.12,40.97,3.68,br01,2026-03-08
