Tree_ID,Plot,Scan_Date,Easting,Northing,Species,Height,DBH,Crown,Biomass,Match_Confidence
FagSyl_BR01_P16T2,BR01,06/06/2026,476766.715,5429086.122,Fagus sylvatica,20.63,25.196,7.63,412.545,0.395
FagSyl_BR01_P22T17,BR01,06/06/2026,476769.992,5429085.394,Fagus sylvatica,19.71,20.478,3.04,263.25,0.593
PruAvi_BR01_P17T2,BR01,06/06/2026,476767.866,5429082.647,Prunus avium,19.14,20.877,5.04,243.263,0.269
FagSyl_BR01_P22T12,BR01,06/06/2026,476773.777,5429100.021,Fagus sylvatica,21.47,21.724,2.3,321.141,0.659
FraExc_BR01_P22T28,BR01,06/06/2026,476770.775,5429101.845,Fraxinus excelsior,22.12,25.115,7.04,431.448,0.815
FagSyl_BR01_P22T12,BR01,06/06/2026,476774.429,5429098.863,Fagus sylvatica,21.14,21.78,1.6,317.916,0.891
CarBet_BR01_P22T34,BR01,06/06/2026,476771.933,5429097.638,Carpinus betulus,21.12,24.071,5.69,418.552,0.101
FagSyl_BR01_P22T12,BR01,06/06/2026,476772.537,5429098.48,Fagus sylvatica,21.02,20.949,1.15,293.036,0.348
FraExc_BR01_P22T31,BR01,06/06/2026,476770.839,5429099.278,Fraxinus excelsior,21.62,21.923,3.92,323.597,0.273
FagSyl_BR01_P22T12,BR01,06/06/2026,476776.231,5429098.286,Fagus sylvatica,19.03,20.278,3.4,249.555,0.309
PruAvi_BR01_P22T23,BR01,06/06/2026,476773.305,5429091.1,Prunus avium,17.63,15.413,2.04,124.167,0.405
CarBet_BR01_P22T25,BR01,06/06/2026,476775.169,5429096.043,Carpinus betulus,17.98,18.192,4.7,207.077,0.111
FagSyl_BR01_P16T2,BR01,06/06/2026,476765.067,5429086.789,Fagus sylvatica,15.13,13.62,1.83,91.74,0.983
CarBet_BR01_P22T20,BR01,06/06/2026,476774.682,5429092.223,Carpinus betulus,16.29,13.776,4.45,109.289,0.678
FraExc_BR01_P22T31,BR01,06/06/2026,476769.594,5429100.723,Fraxinus excelsior,15.31,13.745,1.75,92.885,0.418
FagSyl_BR01_P22T36a,BR01,06/06/2026,476766.839,5429098.953,Fagus sylvatica,14.42,14.251,7.27,95.626,0.895
FraExc_BR01_P22T33,BR01,06/06/2026,476765.036,5429091.733,Fraxinus excelsior,10.41,10.486,3.22,37.585,0.474
CarBet_BR01_P21T46,BR01,06/06/2026,476766.294,5429095.286,Carpinus betulus,11.95,10.154,2.97,44.529,0.364
FagSyl_BR01_P22T37,BR01,06/06/2026,476764.978,5429097.955,Fagus sylvatica,8.97,7.18,2.05,15.783,0.823
CarBet_BR01_T82,BR01,06/06/2026,476789.645,5429102.926,Carpinus betulus,7.56,6.417,2.5,11.628,1
CarBet_BR01_T83,BR01,06/06/2026,476788.824,5429083.334,Carpinus betulus,0.46,6.276,2.25,0.725,1
